item,url,description,price
"23,8"" Rapture VIDE IFF24144",https://www.alza.sk/23-8-rapture-vide-iff24144-d7471033.htm,"LCD monitor - uhlopriečka 23,8“ (60,45 cm), Full HD 1920 × 1080, IPS panel, E-LED, pomer strán 16:9, odozva 1 ms, obnovovacia frekvencia 144 Hz, podpora HDR, jas 280 cd/m2, kontrast 1000:1, 2× DisplayPort 1.4, 2× HDMI 2.1, slúchadlový výstup 3,5mm, filter modrého svetla, antireflexný povrch, technológie Anti-Flicker, nastaviteľný sklon, VESA 100 × 100 mm","143,89 €"
"34"" AOC CU34G2X/BK Gaming",https://www.alza.sk/34-aoc-cu34g2x-bk-gaming-d5800573.htm,"LCD monitor prehnutý, Ultra Wide QHD 3440 × 1440, VA, 21:9 širokouhlý, 1 ms, 144Hz, FreeSync, 8bit, 300 cd/m2, kontrast 3000:1, HDMI a DisplayPort, USB, slúchadlový výstup, nastaviteľná výška, antireflexný povrch displeja, VESA","351,16 €"
"34"" Philips 346P1CRH",https://www.alza.sk/34-philips-346p1crh-d6133331.htm,"LCD monitor prehnutý, Ultra Wide QHD 3440 × 1440, VA, 21:9 širokouhlý, 4 ms, 100Hz, 8bit, 500 cd/m2, kontrast 3000:1, HDMI, USB-C a DisplayPort, USB, LAN, slúchadlový výstup, nastaviteľná výška, antireflexný povrch displeja, repro, VESA, Power Delivery","597,40 €"
"49"" Philips 499P9H",https://www.alza.sk/49-philips-499p9h-d5547590.htm,"LCD monitor prehnutý, Dual QHD 5120 × 1440, VA, 32:9 širokouhlý, 5 ms, 60Hz, FreeSync, 450 cd/m2, kontrast 3000:1, HDMI, USB-C a DisplayPort, USB, LAN, slúchadlový výstup, nastaviteľná výška, antireflexný povrch displeja, repro, VESA","915,62 €"
"24"" Philips 243V7QJABF",https://www.alza.sk/24-philips-243v7qdjabf-d5144956.htm,"LCD monitor Full HD 1920×1080, IPS, 16:9 širokouhlý, 5 ms, 75Hz, 250 cd/m2, kontrast 1000:1, HDMI, DisplayPort a VGA, slúchadlový výstup, repro, VESA","86,90 €"
"27"" AOC C27G2ZE/BK Gaming",https://www.alza.sk/27-aoc-c27g2zebk-gaming-d6217874.htm,"LCD monitor prehnutý, Full HD 1920×1080, VA, 16:9 širokouhlý, 0,5 ms, 240Hz, FreeSync, 8bit, 300 cd/m2, kontrast 3000:1, HDMI a DisplayPort, slúchadlový výstup, antireflexný povrch displeja","196,90 €"
"24"" BenQ GW2480",https://www.alza.sk/24-benq-gw2480-d5100547.htm,"LCD monitor Full HD 1920×1080, IPS, 5 ms, 60Hz, 8bit, 250 cd/m2, HDMI, DisplayPort a VGA, slúchadlový výstup, repro, VESA","109,76 €"
"28"" Samsung U28R550",https://www.alza.sk/28-samsung-u28r550-d5730773.htm,"LCD monitor 4K 3840 × 2160, IPS, 16:9 širokouhlý, 4 ms, 60Hz, FreeSync, 10bit, 300 cd/m2, kontrast 1000:1, HDMI a DisplayPort, slúchadlový výstup","239,90 €"
"27"" GIGABYTE M27Q",https://www.alza.sk/27-gigabyte-m27q-d6237997.htm,"LCD monitor Quad HD 2560×1440, IPS, 16:9 širokouhlý, 0,5 ms, 170Hz, 8bit, 350 cd/m2, kontrast 1000:1, HDMI, USB-C a DisplayPort, USB, slúchadlový výstup, nastaviteľná výška, antireflexný povrch displeja, VESA",309 €
"27"" Dell S2721HN Style",https://www.alza.sk/27-dell-s2721hn-d6153043.htm,"LCD monitor Full HD 1920×1080, IPS, 16:9 širokouhlý, 4 ms, 75Hz, FreeSync, 300 cd/m2, kontrast 1000:1, HDMI, slúchadlový výstup, antireflexný povrch displeja, VESA","119,90 €"
ASUS ProArt PA329C,https://www.alza.sk/asus-proart-pa329c-d5684092.htm,"LCD monitor 4K 3840 × 2160, IPS, 16:9 širokouhlý, 5 ms, 60Hz, 10bit, 400 cd/m2, kontrast 1000:1, HDMI, USB-C a DisplayPort, USB, nastaviteľná výška, repro, VESA, Power Delivery",769 €
"27"" Dell S2721H Style",https://www.alza.sk/27-dell-s2721h-d6158324.htm,"LCD monitor Full HD 1920×1080, IPS, 16:9 širokouhlý, 4 ms, 75Hz, FreeSync, 300 cd/m2, kontrast 1000:1, HDMI, slúchadlový výstup, nastaviteľná výška, antireflexný povrch displeja, repro, VESA","155,90 €"
"23,8"" Dell S2421H Style",https://www.alza.sk/23-8-dell-s2421h-d6158322.htm,"LCD monitor Full HD 1920×1080, IPS, 16:9 širokouhlý, 4 ms, 75Hz, FreeSync, 250 cd/m2, kontrast 1000:1, HDMI, slúchadlový výstup, antireflexný povrch displeja, repro, VESA","122,90 €"
"24"" AOC C24G2AE/BK Gaming",https://www.alza.sk/24-aoc-c24g2aebk-gaming-d6217871.htm,"LCD monitor prehnutý, Full HD 1920×1080, VA, 16:9 širokouhlý, 1 ms, 165Hz, FreeSync, 8bit, 250 cd/m2, kontrast 3000:1, HDMI, DisplayPort a VGA, slúchadlový výstup, antireflexný povrch displeja, repro, VESA","147,85 €"
"32"" AOC C32G2ZE/BK Gaming",https://www.alza.sk/32-aoc-c32g2zebk-gaming-d6217879.htm,"LCD monitor prehnutý, Full HD 1920×1080, VA, 16:9 širokouhlý, 0,5 ms, 240Hz, FreeSync, 8bit, 300 cd/m2, kontrast 4000:1, HDMI a DisplayPort, slúchadlový výstup, antireflexný povrch displeja, VESA",233 €
"27"" ASUS VG279QM Gaming HDR",https://www.alza.sk/27-asus-vg279qm-gaming-hdr-d5775616.htm,"LCD monitor Full HD 1920×1080, IPS, 16:9 širokouhlý, 1 ms, 280Hz, G-Sync kompatibilný, 400 cd/m2, kontrast 1000:1, HDMI a DisplayPort, slúchadlový výstup, nastaviteľná výška, pivot, repro, VESA","276,90 €"
"32"" AOC U32E2N",https://www.alza.sk/32-aoc-u32e2n-d6217876.htm,"LCD monitor 4K 3840 × 2160, VA, 16:9 širokouhlý, 4 ms, 60Hz, FreeSync, 8bit, 350 cd/m2, kontrast 1000:1, HDMI a DisplayPort, slúchadlový výstup, antireflexný povrch displeja, repro, VESA","326,63 €"
"27"" Philips 273V7QDSB",https://www.alza.sk/27-philips-273v7qdsb-d5077326.htm,"LCD monitor Full HD 1920×1080, IPS, 16:9 širokouhlý, 5 ms, 60Hz, 250 cd/m2, kontrast 1000:1, HDMI, VGA a DVI, VESA","104,90 €"
"34"" Philips 345B1C",https://www.alza.sk/34-philips-345b1c-d5800564.htm,"LCD monitor prehnutý, Ultra Wide QHD 3440 × 1440, VA, 21:9 širokouhlý, 5 ms, 100Hz, 8bit, 300 cd/m2, kontrast 1000:1, HDMI a DisplayPort, USB, slúchadlový výstup, nastaviteľná výška, antireflexný povrch displeja, repro, VESA","352,78 €"
"32"" Samsung U32R590",https://www.alza.sk/32-samsung-u32r590cw-d5597538.htm,"LCD monitor prehnutý, 4K 3840 × 2160, VA, 16:9 širokouhlý, 4 ms, 60Hz, 10bit, 250 cd/m2, kontrast 2500:1, HDMI a DisplayPort, slúchadlový výstup","369,96 €"
"27"" BenQ GW2780",https://www.alza.sk/27-benq-gw2780-d5100553.htm,"LCD monitor Full HD 1920×1080, IPS, 5 ms, 60Hz, 8bit, 250 cd/m2, kontrast 1000:1, HDMI, DisplayPort a VGA, slúchadlový výstup, repro","149,90 €"
"27"" ASUS ProArt PA278QV",https://www.alza.sk/27-asus-proart-pa278qv-d5857930.htm,"LCD monitor Quad HD 2560×1440, IPS, 16:9 širokouhlý, 5 ms, 75Hz, 8bit, 350 cd/m2, kontrast 1000:1, HDMI, DisplayPort, DVI a mini DisplayPort, USB, nastaviteľná výška, pivot, repro, VESA","296,26 €"
"27"" ASUS TUF Gaming VG27AQL1A",https://www.alza.sk/27-asus-tuf-gaming-vg27aql1a-d6121737.htm,"LCD monitor Quad HD 2560×1440, IPS, 16:9 širokouhlý, 1 ms, 170Hz, G-Sync kompatibilný, 10bit, 400 cd/m2, kontrast 1000:1, HDMI a DisplayPort, slúchadlový výstup, nastaviteľná výška, pivot, VESA","329,96 €"
ASUS TUF Gaming VG27AQ,https://www.alza.sk/asus-tuf-gaming-vg27aq-d5684089.htm,"LCD monitor Quad HD 2560×1440, IPS, 16:9 širokouhlý, 1 ms, 165Hz, G-Sync kompatibilný, 350 cd/m2, kontrast 1000:1, HDMI a DisplayPort, slúchadlový výstup, nastaviteľná výška, repro, VESA",269 €
